FT (mins)	Sectors	Required Fuel	Minimum Fuel	Fuel State
60	2	170	190	35/35
60	3	175	190	35/35
60	4	180	190	35/35
60	5	185	190	35/35
70	2	184	190	35/35
70	3	189	190	35/35
70	4	194	216	40/40
70	5	199	216	40/40
70	6	205	216	40/40
70	7	210	216	40/40
80	2	198	216	40/40
80	3	203	216	40/40
80	4	208	216	40/40
80	5	213	216	40/40
80	6	219	244	45/45
80	7	224	244	45/45
90	2	211	216	40/40
90	3	217	244	45/45
90	4	222	244	45/45
90	5	227	244	45/45
90	6	232	244	45/45
90	7	238	244	45/45
100	2	225	244	45/45
100	3	231	244	45/45
100	4	236	244	45/45
100	5	241	244	45/45
100	6	246	274	50/50
100	7	252	274	50/50
110	2	239	244	45/45
110	3	245	274	50/50
110	4	250	274	50/50
110	5	255	274	50/50
110	6	260	274	50/50
110	7	266	274	50/50
120	2	253	274	50/50
120	3	258	274	50/50
120	4	264	274	50/50
120	5	269	274	50/50
120	6	274	274	50/50
120	7	279	300	55/55
130	2	267	274	50/50
130	3	272	274	50/50
130	4	278	300	55/55
130	5	283	300	55/55
130	6	288	300	55/55
130	7	293	300	55/55
140	2	281	300	55/55
140	3	286	300	55/55
140	4	292	300	55/55
140	5	297	300	55/55
140	6	302	326	60/60
140	7	307	326	60/60
150	2	295	300	55/55
150	3	300	300	55/55
150	4	305	326	60/60
150	5	311	326	60/60
150	6	316	326	60/60
150	7	321	326	60/60
160	2	309	326	60/60
160	3	314	326	60/60
160	4	319	326	60/60
160	5	325	326	60/60
160	6	330	352	65/65
160	7	335	352	65/65
170	2	323	326	60/60
170	3	328	352	65/65
170	4	333	352	65/65
170	5	339	352	65/65
170	6	344	352	65/65
170	7	349	352	65/65
180	2	337	352	65/65
180	3	342	352	65/65
180	4	347	352	65/65
180	5	352	352	65/65
180	6	358	352	65/65
180	7	363	352	65/65
